,EmployeeNumber,hand,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
18,23,3,,,,,,2,3,4,3,1,4,1,4,1,5,4,2,5,2,1,4,2,2,2,2,2,2,2,2,2,5,2,4,2,3,4,1,5,1,4,2,5,-1,5,4,4,1,4,2,4,2,5,3,2,2
19,24,1,,,,,,2,2,3,3,3,3,1,3,3,3,4,4,3,1,3,2,2,2,4,4,1,3,2,4,3,2,3,3,4,4,1,2,5,2,2,1,4,-2,2,2,4,2,5,2,2,1,5,3,4,4
20,26,1,,,,,,1,4,2,5,3,4,2,4,3,3,4,4,4,4,4,4,5,5,4,2,4,5,1,5,2,4,1,4,5,3,2,3,4,5,3,4,2,-1,1,5,5,3,5,2,4,1,4,3,4,4
21,27,1,,,,,,2,3,4,2,4,1,3,4,2,3,1,2,2,3,2,1,2,1,2,2,2,4,3,3,1,2,2,4,2,3,4,3,5,1,4,2,4,-1,3,4,5,1,4,1,4,1,5,4,4,4
22,28,1,,,,,,2,3,1,4,2,4,1,3,3,4,3,3,5,2,3,3,4,3,3,3,1,4,1,4,2,4,3,5,4,3,4,2,4,2,4,1,5,-2,4,4,4,2,5,3,4,2,3,4,5,3
23,30,2,,,,,,3,3,4,3,4,3,3,3,4,3,3,4,3,5,3,2,2,2,2,2,1,4,2,4,2,5,2,4,4,3,3,4,5,3,2,4,3,-2,4,3,3,2,4,2,4,2,5,2,5,3
24,31,1,,,,,,3,4,4,4,2,3,3,3,4,5,4,4,4,3,2,2,3,2,1,3,1,4,1,5,3,3,3,3,4,4,3,5,4,3,1,5,4,-4,2,4,4,3,4,4,4,2,4,4,5,4
25,32,1,,,,,,1,3,2,4,2,3,3,2,2,5,5,4,4,3,2,3,1,1,3,3,5,4,1,5,1,3,1,4,5,4,4,1,5,2,1,4,3,-1,2,4,3,5,5,1,4,1,5,3,3,5
26,33,1,,,,,,5,5,4,1,5,1,5,1,5,2,3,4,4,5,3,3,4,3,3,2,4,5,4,4,4,4,1,2,4,5,2,5,2,5,1,5,3,-3,5,5,4,1,5,1,5,1,4,4,2,5
27,35,1,,,,,,3,3,4,3,2,2,3,4,2,4,4,3,4,3,2,2,3,3,2,2,1,2,1,3,2,4,2,4,4,3,3,3,3,3,4,3,3,-3,3,2,2,3,4,3,3,2,3,2,4,3
28,36,1,,,,,,2,4,3,4,2,2,4,5,1,5,5,4,5,1,3,4,5,4,4,4,3,5,5,4,1,5,1,4,2,3,2,5,3,4,1,2,2,-5,3,1,4,3,3,1,4,2,3,3,5,5
29,38,1,,,,,,3,3,3,3,2,2,4,2,3,4,1,3,4,5,2,3,1,1,2,1,1,4,3,4,3,3,2,4,4,4,4,1,4,2,4,1,2,-3,2,4,3,2,4,3,4,2,4,3,4,3
30,39,1,,,,,,4,2,1,5,4,1,3,3,1,5,4,4,5,2,2,4,4,3,4,4,2,5,4,5,2,5,2,4,5,4,1,1,3,5,1,4,3,-1,1,3,3,3,5,3,3,1,3,3,3,5
31,40,1,,,,,,2,3,3,4,3,2,4,5,2,4,5,3,5,2,2,2,3,2,3,3,2,3,2,4,3,3,3,4,5,5,3,4,5,3,2,2,3,-3,3,3,4,1,5,1,4,2,5,3,5,5
32,41,2,,,,,,4,2,4,2,4,2,4,2,4,2,2,4,4,4,2,2,2,2,2,2,2,4,3,4,2,3,2,4,4,4,4,3,4,3,4,2,4,-2,4,4,3,2,2,2,4,2,4,3,4,4
33,42,1,,,,,,5,2,4,1,5,1,5,1,5,3,4,3,4,1,1,4,5,5,4,4,1,5,4,4,1,5,1,5,5,4,2,5,1,4,1,5,1,-1,1,1,5,1,4,1,4,1,4,5,5,4
34,45,2,,,,,,1,4,3,4,3,3,1,5,1,5,3,3,4,3,1,3,4,2,4,4,4,3,3,3,3,5,5,3,3,3,2,5,3,5,1,4,3,-5,2,3,2,3,4,3,2,3,3,1,3,3
35,46,2,,,,,,1,2,3,3,3,1,1,4,2,3,4,2,5,1,4,5,4,4,3,5,1,3,1,5,3,4,4,2,5,3,5,2,5,1,2,1,5,-1,4,5,5,1,4,3,3,2,5,5,5,3
36,47,1,,,,,,1,5,2,5,2,2,2,3,4,5,1,4,4,2,2,2,2,2,2,4,1,5,4,5,2,5,2,5,5,1,5,1,5,5,2,2,5,-2,2,5,5,4,5,1,5,1,5,5,2,5
37,49,2,,,,,,2,3,3,3,4,1,1,3,1,3,2,4,3,2,3,2,4,3,2,4,1,4,1,4,1,4,2,4,4,5,4,1,4,3,2,2,3,-2,4,3,5,1,5,1,4,1,4,4,4,5
38,51,1,,,,,,2,4,2,4,2,3,3,4,2,5,3,4,3,3,3,2,2,1,3,2,4,3,2,3,2,3,3,2,3,2,3,5,3,4,1,5,2,-3,2,4,5,1,3,1,5,2,4,5,5,4
39,52,1,,,,,,1,2,2,4,2,2,1,4,2,5,3,4,5,3,4,2,3,2,3,2,1,4,2,4,2,4,1,4,4,3,4,2,5,2,5,2,4,-2,4,3,4,2,4,2,3,2,4,4,4,4
40,53,1,,,,,,5,1,1,1,5,1,5,1,5,1,1,5,1,5,1,1,1,1,1,1,5,1,5,1,5,5,5,1,1,5,5,1,5,1,5,1,5,-1,1,1,5,1,5,1,5,1,5,5,5,5
41,54,1,,,,,,4,2,3,3,3,2,5,3,5,5,5,2,5,4,5,5,5,3,5,2,2,5,2,4,2,5,2,5,3,3,4,1,4,5,5,2,5,-1,4,3,2,2,1,1,3,1,4,4,5,2
42,55,1,,,,,,2,3,2,4,2,2,2,4,3,5,3,3,4,3,4,3,4,2,4,3,3,3,2,4,3,4,3,3,3,3,4,2,5,3,2,3,4,-3,2,3,3,3,4,3,4,2,4,2,4,5
43,56,1,,,,,,3,1,5,1,5,1,5,1,5,1,2,2,5,1,5,4,5,4,5,5,1,5,5,5,5,4,1,4,5,5,5,1,5,2,5,1,5,-1,5,4,4,2,4,2,5,1,5,2,5,5
44,57,1,,,,,,1,3,4,5,3,3,3,5,1,5,4,2,5,3,4,5,4,4,3,4,1,5,1,5,1,5,1,5,5,5,5,4,4,3,2,4,3,-2,4,4,4,3,5,4,3,1,5,4,5,2
45,58,1,,,,,,4,2,4,3,5,2,5,2,5,3,5,2,4,2,4,3,3,3,3,4,1,4,2,4,2,3,1,3,5,4,5,3,3,3,4,3,5,-1,5,5,5,2,4,2,5,1,4,4,4,5
46,60,1,,,,,,1,5,2,5,2,3,1,4,2,5,3,4,3,3,2,2,2,2,4,3,4,3,4,2,3,2,4,3,3,3,3,3,4,2,2,3,3,-3,2,4,4,3,5,3,3,2,3,3,4,3
47,61,1,,,,,,2,3,5,2,5,2,3,2,5,1,1,2,2,3,1,1,1,1,1,3,5,5,1,4,1,4,2,4,4,5,5,1,5,1,5,1,4,-1,5,5,4,2,3,1,4,1,5,1,5,4
48,62,1,,,,,,1,5,1,5,1,5,1,5,1,5,5,2,5,1,5,5,5,5,4,5,4,3,1,4,3,5,2,4,4,3,1,4,2,5,1,5,3,-5,3,2,5,2,5,1,4,1,2,5,5,4
49,63,1,,,,,,1,2,3,5,4,1,1,3,4,4,4,3,5,3,4,4,4,4,5,3,4,3,5,4,1,5,3,3,3,2,4,5,4,4,1,4,3,-4,2,3,4,2,5,2,5,3,5,4,4,5
50,64,2,,,,,,1,4,2,4,1,2,1,4,2,5,5,2,5,2,2,4,5,4,3,3,2,4,3,5,2,4,2,3,4,2,4,3,5,4,2,4,5,-2,4,4,4,3,4,3,3,2,4,3,4,4
51,65,1,,,,,,2,3,2,5,2,1,1,3,5,5,5,2,5,2,5,5,5,5,5,5,3,2,3,2,3,5,3,3,3,3,1,5,3,5,3,5,3,-5,2,4,5,3,5,4,5,1,4,5,5,5
52,68,1,,,,,,2,2,2,2,4,1,2,2,2,4,4,3,4,2,3,5,4,4,4,2,4,4,4,2,2,3,1,3,3,2,2,3,5,3,1,5,2,-3,2,3,5,2,4,2,4,2,3,4,5,5
53,70,1,,,,,,2,1,4,2,4,1,1,4,2,3,5,3,2,2,2,2,1,1,2,2,1,5,1,5,2,4,1,2,5,5,5,1,4,1,5,1,2,-1,4,4,3,2,1,2,2,1,4,1,4,4
54,72,1,,,,,,4,1,3,1,2,1,4,4,4,4,4,3,4,3,2,3,4,3,3,3,2,5,2,2,5,4,3,3,1,3,5,4,4,1,3,1,5,-1,4,4,5,1,4,1,5,1,4,5,3,5
55,73,1,,,,,,2,4,2,4,2,4,2,4,2,4,4,3,4,1,2,4,3,3,4,4,2,2,2,4,3,2,4,2,4,3,3,4,3,3,2,3,3,-4,2,4,4,4,4,4,3,3,4,3,4,3
56,74,2,,,,,,2,1,4,2,2,4,5,5,2,5,5,2,5,3,5,5,5,4,4,4,4,4,4,2,3,5,1,4,1,3,4,3,5,3,1,3,4,-3,5,3,3,3,5,4,4,1,3,4,4,4
57,75,1,,,,,,2,2,2,2,2,1,1,2,4,4,5,3,4,2,4,3,4,3,4,3,1,4,2,3,1,4,1,2,2,2,2,4,3,4,1,5,3,-5,2,3,4,2,3,2,3,2,4,4,2,2
58,76,1,,,,,,1,4,2,5,1,2,1,5,1,5,5,2,5,2,4,4,2,2,4,2,1,5,1,5,1,4,1,4,5,3,4,2,2,2,2,1,4,-2,4,2,5,1,5,3,4,1,5,4,5,4
59,77,2,,,,,,4,1,5,3,5,1,1,1,4,1,5,2,5,4,4,5,2,2,4,2,1,5,1,5,1,5,1,3,5,5,2,1,5,4,1,1,5,-2,5,3,5,1,5,4,5,1,5,5,2,5
60,78,1,,,,,,4,1,4,2,5,2,5,2,4,2,2,3,4,2,2,3,4,2,2,3,1,5,2,5,1,5,1,5,4,4,4,2,4,1,4,1,5,-1,4,4,3,2,4,1,3,2,3,3,5,3
61,79,1,,,,,,5,5,5,5,5,5,5,2,5,1,5,1,5,5,5,5,5,5,5,2,5,5,5,5,1,5,1,5,5,5,4,5,5,1,4,5,5,-1,2,5,1,5,5,2,5,1,2,1,5,3
62,80,1,,,,,,3,3,3,5,2,3,3,4,4,4,4,4,4,2,3,4,4,4,4,4,3,4,4,4,3,3,3,3,3,2,3,4,4,4,1,5,4,-4,2,3,4,5,5,3,3,2,2,4,4,4
63,81,1,,,,,,4,3,4,2,4,2,4,2,4,2,1,5,2,3,2,2,2,2,2,2,1,5,1,5,5,5,1,5,5,4,4,5,5,2,1,5,4,-3,3,4,5,1,3,1,4,3,4,3,5,4
64,83,1,,,,,,2,3,4,3,2,2,2,4,2,4,3,4,3,5,1,1,1,1,2,1,2,3,1,3,3,4,3,4,3,5,4,2,5,1,5,5,4,-1,4,5,3,3,5,2,5,1,4,2,4,5
65,84,1,,,,,,2,4,5,2,4,4,4,2,2,3,3,3,4,2,4,2,4,1,2,2,4,4,1,5,1,5,2,5,4,4,2,2,3,4,2,4,3,-2,2,3,3,2,4,2,5,2,5,2,5,4
66,85,1,,,,,,3,5,4,4,3,4,2,5,4,5,5,4,5,3,4,5,5,5,4,4,4,5,4,5,2,5,4,5,5,5,3,2,5,5,2,4,3,-3,3,4,3,3,5,3,3,4,3,4,5,3
67,86,1,,,,,,4,4,4,2,3,2,4,4,5,3,2,4,4,4,1,2,1,1,2,2,1,3,1,5,2,5,2,5,5,5,4,1,5,1,5,1,5,-1,5,5,4,1,4,1,5,4,5,1,5,3
68,88,1,,,,,,2,2,5,2,4,3,2,5,1,2,5,1,5,2,4,4,5,5,4,4,1,4,3,4,1,4,2,5,4,2,4,1,5,1,4,5,5,-3,5,5,4,4,2,2,3,2,4,4,2,2
69,90,1,,,,,,3,1,5,2,5,1,3,3,3,2,3,4,4,3,3,3,4,3,3,3,1,5,2,5,1,2,1,5,5,4,2,4,4,2,3,4,2,-3,1,4,3,2,4,1,4,3,4,4,5,3
70,91,1,,,,,,4,1,4,2,4,1,2,2,5,4,4,2,5,5,1,2,2,1,1,1,2,5,1,5,2,4,1,3,4,5,3,3,4,2,2,3,3,-2,3,4,3,2,4,2,4,1,4,3,2,4
71,94,1,,,,,,1,2,2,5,4,1,1,2,2,5,5,1,5,1,5,5,5,3,5,5,1,3,1,5,2,5,2,4,4,3,4,3,3,4,3,4,5,-2,5,4,4,2,5,2,2,1,4,5,4,5
72,95,1,,,,,,5,2,2,3,2,2,5,5,3,5,4,5,5,2,4,3,3,2,3,3,3,4,3,5,2,4,1,4,4,3,3,5,3,3,1,5,4,-4,2,2,4,1,5,1,4,1,5,4,5,4
73,96,1,,,,,,1,4,2,4,3,5,3,5,2,5,5,3,5,3,2,5,5,5,4,1,2,5,1,5,1,3,1,4,4,3,3,5,3,5,1,5,3,-3,3,4,2,3,4,2,4,3,3,3,5,3
74,97,1,,,,,,3,2,4,4,5,2,4,4,2,2,4,4,4,4,3,2,2,2,4,2,3,4,2,4,4,4,2,3,3,4,2,5,3,4,1,5,3,-4,2,2,5,1,4,1,4,2,5,5,5,4
75,98,2,,,,,,1,5,2,5,1,5,1,4,2,5,5,2,3,1,2,4,3,3,2,5,2,4,1,4,2,5,1,4,4,5,3,4,5,2,1,4,4,-1,3,5,3,3,5,2,5,1,5,3,5,5
76,100,1,,,,,,3,4,4,3,4,1,1,5,1,5,5,4,5,3,4,5,3,1,5,3,1,5,1,5,1,5,1,3,5,5,4,4,5,1,1,2,4,-1,3,4,5,4,3,4,2,2,4,4,4,3
77,101,1,,,,,,1,5,2,5,2,2,1,5,1,4,5,1,5,1,5,4,2,2,4,5,3,2,5,2,3,3,4,2,2,2,4,2,5,3,2,2,4,-4,4,4,4,3,5,3,4,1,4,4,4,4
78,102,1,,,,,,3,2,1,3,5,2,1,5,2,5,4,3,5,3,4,3,3,3,5,3,1,5,4,4,1,4,2,5,4,3,5,2,4,2,4,1,5,-1,5,5,5,4,3,2,4,3,4,5,4,4
79,103,1,,,,,,2,3,4,2,4,1,4,4,4,4,5,1,5,1,1,5,5,4,3,5,1,5,2,5,1,4,1,5,5,3,4,5,2,5,2,5,4,-3,2,3,4,2,5,2,4,1,5,4,5,4
80,104,1,,,,,,3,1,3,1,5,1,1,2,3,5,5,1,5,2,4,5,4,4,5,5,1,5,5,5,1,3,1,5,5,3,3,5,5,5,1,5,4,-1,5,5,5,1,5,1,4,1,5,5,5,5
81,105,1,,,,,,3,4,3,3,3,5,2,5,3,4,5,4,5,1,4,5,5,5,5,5,2,2,4,3,2,3,4,3,3,4,3,3,4,4,3,4,3,-3,3,3,4,1,4,1,2,2,4,4,5,3
82,106,1,,,,,,3,3,3,1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,4,2,5,2,4,4,4,3,1,4,1,4,1,5,-3,3,3,2,2,4,3,4,3,4,2,3,4
83,107,1,,,,,,4,2,5,3,5,1,4,1,5,1,1,3,3,3,2,1,1,1,1,2,3,4,2,4,1,4,2,4,4,5,5,1,5,2,3,1,2,-2,5,3,5,2,3,3,3,1,5,2,3,3
84,110,1,,,,,,4,1,5,2,5,1,5,1,5,2,3,4,4,3,2,3,2,3,3,2,1,5,1,5,1,4,1,1,5,5,3,2,4,2,4,1,4,-1,4,3,4,2,5,2,5,1,5,4,4,5
85,112,1,,,,,,3,2,4,2,4,2,4,2,4,2,2,4,2,4,2,4,2,2,2,2,4,4,2,4,2,4,2,4,2,4,4,3,4,2,4,2,4,-2,4,4,4,2,4,3,4,2,4,4,4,4
86,113,1,,,,,,2,2,2,3,2,2,5,3,3,5,3,3,4,1,2,4,3,3,4,5,4,3,4,4,3,4,4,3,3,2,2,2,3,4,3,3,4,-4,3,3,5,2,5,2,2,1,4,3,4,3
87,116,1,,,,,,3,2,2,2,4,3,4,4,4,4,4,3,5,2,2,3,4,4,3,4,3,1,1,4,3,3,4,3,4,4,3,3,5,3,2,5,4,-3,2,4,4,1,5,1,4,1,5,4,4,4
88,117,1,,,,,,3,3,5,2,5,1,2,3,3,2,1,5,2,1,1,2,1,1,3,3,1,3,1,4,2,3,2,3,3,3,3,1,2,1,5,2,4,-3,2,4,3,4,3,3,3,4,5,1,4,5
89,118,1,,,,,,1,5,1,5,1,4,1,5,3,5,4,3,5,1,4,3,1,1,1,1,1,5,1,5,1,3,1,5,4,4,1,4,5,1,1,5,1,-3,1,3,5,1,5,1,5,1,4,5,5,5
90,119,1,,,,,,2,3,3,3,3,2,2,3,2,5,3,3,3,3,3,3,3,2,3,2,1,4,2,5,1,4,2,3,4,4,3,2,4,3,4,2,5,-3,4,4,5,2,2,2,2,4,4,4,4,2
91,120,1,,,,,,4,2,3,2,4,1,2,3,3,3,5,4,5,1,4,4,3,3,3,5,1,5,1,5,1,5,1,5,5,5,4,5,5,3,1,4,2,-2,4,5,5,1,5,1,5,1,5,5,5,5
92,121,1,,,,,,1,1,5,3,5,1,1,5,1,3,1,3,3,1,1,1,1,1,1,1,1,5,1,3,1,3,1,5,3,3,5,1,5,1,5,1,5,-1,5,5,3,1,4,1,4,5,5,2,5,4
93,124,1,,,,,,5,3,5,2,3,1,5,2,4,4,1,5,1,5,5,1,2,2,5,1,4,5,1,2,4,4,2,5,4,4,4,3,4,3,4,3,3,-3,4,4,4,2,4,2,4,1,5,3,4,4
94,125,1,,,,,,2,3,3,4,4,2,3,2,4,4,1,4,2,4,1,1,2,1,1,1,2,3,4,3,3,3,3,4,2,5,5,5,4,3,2,2,3,-3,2,3,5,3,4,4,4,2,3,4,4,3
95,126,1,,,,,,1,4,2,2,2,3,1,3,2,5,5,2,5,1,4,4,4,4,3,5,1,4,2,5,2,5,1,3,4,3,2,2,4,3,2,3,4,-2,2,2,4,3,4,1,1,2,3,3,4,3
96,128,1,,,,,,4,4,2,4,2,4,2,5,1,4,2,4,2,3,3,3,4,3,4,3,3,4,5,4,3,3,3,4,3,3,3,3,3,5,1,4,1,-3,2,2,4,2,4,2,3,2,4,4,4,3
97,129,1,,,,,,4,1,5,1,5,1,5,5,3,5,3,4,3,3,2,4,4,2,4,2,2,5,3,5,1,3,1,5,5,4,3,5,4,4,1,4,3,-2,3,4,4,1,5,1,5,1,5,4,5,5
98,131,1,,,,,,3,1,5,3,4,1,4,2,4,2,3,5,3,1,2,1,1,1,1,1,1,5,1,4,1,3,1,5,4,5,4,3,5,1,5,1,4,-3,5,5,5,1,4,1,4,1,4,2,5,5
99,132,1,,,,,,3,3,4,4,5,2,5,4,3,4,4,3,4,2,2,3,3,2,2,3,2,5,2,5,2,5,2,5,5,5,4,2,5,2,4,3,4,-2,4,4,3,1,5,1,5,1,5,3,5,5
100,133,1,,,,,,1,3,2,4,1,1,1,4,3,4,4,3,4,3,4,4,4,4,4,2,3,3,2,4,1,5,1,4,4,3,4,3,3,4,1,4,1,-2,4,2,2,3,3,3,4,4,4,2,3,2
101,134,1,,,,,,1,4,5,3,5,3,3,5,1,4,4,3,4,1,5,4,2,2,4,2,1,5,1,5,1,4,1,5,5,5,2,4,5,4,1,1,5,-1,5,5,5,1,5,1,5,1,5,5,5,5
102,137,1,,,,,,1,3,2,4,3,2,1,4,2,4,5,2,5,1,4,5,4,4,3,4,1,4,4,4,1,5,2,4,5,5,2,4,4,3,1,5,3,-3,2,3,5,3,5,3,3,1,5,5,4,3
103,138,1,,,,,,1,5,1,5,2,5,1,5,1,5,2,5,2,3,2,2,2,3,1,3,1,2,1,1,1,2,5,3,1,3,4,1,4,1,2,2,5,-3,4,4,4,1,3,4,3,1,5,4,2,4
104,139,2,,,,,,2,2,3,3,3,1,2,2,2,5,3,4,4,4,1,2,2,2,2,2,1,5,2,5,3,5,1,4,3,3,3,2,3,4,2,4,5,-3,4,5,4,1,4,1,4,1,4,2,5,5
105,140,1,,,,,,2,4,2,3,3,2,2,4,4,4,4,3,4,2,3,3,4,4,3,3,3,3,3,2,4,3,3,3,4,3,3,3,3,3,2,4,2,-4,2,4,4,1,4,1,4,1,4,3,4,4
106,141,1,,,,,,3,2,3,3,3,3,2,2,2,3,2,3,3,3,2,2,2,2,2,2,1,4,1,4,2,4,2,3,4,4,2,2,3,2,3,2,3,-2,3,3,3,2,4,2,5,1,4,2,3,4
107,142,1,,,,,,2,1,2,2,3,2,2,5,2,4,5,4,4,2,5,2,4,4,5,3,2,3,5,3,2,3,2,3,3,3,4,5,4,4,1,4,2,-4,4,3,3,2,3,3,2,3,5,4,4,3
108,143,1,,,,,,1,3,3,5,3,5,1,5,1,5,4,5,5,1,2,3,5,4,4,4,4,2,1,2,4,4,3,2,2,3,3,5,4,1,1,1,3,-3,1,2,1,1,3,5,1,5,3,1,5,1
109,144,3,,,,,,5,1,5,5,5,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,1,5,1,5,5,5,5,5,5,1,5,1,5,-1,5,5,5,1,5,1,5,1,5,5,1,5
110,145,1,,,,,,4,4,1,5,2,4,1,5,4,5,5,1,5,4,4,2,4,3,5,4,2,5,2,2,4,5,2,4,2,3,5,4,2,3,1,5,5,-3,4,5,4,2,5,3,4,2,5,2,5,3
111,147,1,,,,,,1,4,2,2,4,4,4,5,1,5,3,5,2,3,2,2,5,4,2,3,2,3,1,2,3,3,2,3,2,4,4,1,2,4,3,3,1,-3,1,4,2,4,3,3,4,2,3,3,5,3
112,148,1,,,,,,5,2,5,1,5,1,5,1,5,2,3,4,3,4,1,1,3,2,2,1,1,5,1,5,1,5,1,5,5,5,4,4,3,4,3,5,2,-1,3,2,3,2,4,1,5,1,4,3,4,5
113,150,1,,,,,,3,1,4,1,5,1,3,1,5,2,4,2,5,2,2,2,4,2,5,2,2,5,5,4,1,5,2,5,4,4,1,5,4,4,1,5,3,-4,4,4,3,2,5,1,5,1,4,2,5,5
114,151,1,,,,,,2,3,3,4,3,3,2,4,2,4,4,3,4,3,2,3,3,3,4,3,1,4,2,4,1,4,2,4,5,4,4,2,3,3,3,3,3,-2,4,3,3,2,4,2,3,2,3,2,4,3
115,152,1,,,,,,2,2,2,4,4,2,1,2,4,5,4,3,5,2,1,4,2,4,4,4,2,4,2,4,2,2,2,2,4,2,4,2,4,4,1,2,4,-2,4,3,5,1,5,1,4,1,4,5,5,4
116,153,1,,,,,,4,1,4,1,4,1,4,1,5,1,4,2,3,4,4,3,4,4,4,2,4,3,3,2,4,2,4,1,4,4,4,3,4,3,3,3,3,-3,2,4,5,1,5,1,5,1,4,5,4,5
117,154,1,,,,,,1,4,2,5,2,4,1,5,2,4,4,3,4,1,3,2,3,2,2,4,2,4,1,4,3,2,2,4,3,3,5,1,5,1,5,1,5,-1,5,5,5,2,4,2,4,2,4,4,5,3
118,155,1,,,,,,3,2,3,2,4,3,2,4,2,4,4,2,4,4,2,3,2,2,3,2,1,5,1,5,1,5,1,5,5,3,4,4,4,2,4,2,4,-1,4,3,3,3,4,4,2,3,4,2,3,2
119,158,1,,,,,,1,4,4,2,4,2,3,2,4,2,1,4,2,5,2,2,1,1,3,1,1,4,1,4,1,5,1,4,4,3,3,1,2,1,3,2,3,-3,4,4,5,3,5,1,5,1,3,5,4,5
120,159,1,,,,,,4,2,5,2,4,1,4,1,4,2,2,3,2,5,2,2,1,2,1,1,2,5,1,4,1,3,1,4,3,4,4,2,5,1,4,1,3,-1,3,4,5,1,5,1,5,1,5,5,4,5
