EmployeeNumber,Age,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance,DailyRate,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Yes,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Over18_Y,OverTime_Yes
18,34,21,19,-13,9,-28,1346,19,2,1,2,93,3,1,4,2661,8758,0,11,3,3,80,1,3,2,3,2,2,1,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
19,28,18,16,-4,16,-15,103,24,3,1,3,50,2,1,3,2028,12947,5,14,3,2,80,0,6,4,3,4,2,0,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
20,29,29,18,-2,-7,-7,1389,21,4,1,2,51,4,3,1,9980,10195,1,11,3,3,80,1,10,1,3,10,9,8,8,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
21,32,29,12,-10,-7,-15,334,5,2,1,1,80,4,1,2,3298,15053,0,12,3,4,80,2,7,5,2,6,2,0,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
22,22,17,6,16,22,-24,1123,16,2,1,4,96,4,1,4,2935,7324,1,13,3,2,80,2,1,2,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
23,53,19,22,-10,10,-18,1219,2,4,1,1,78,2,4,4,15427,22021,2,16,3,3,80,0,31,3,3,25,8,3,7,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
24,38,22,9,-2,11,-19,371,2,3,1,4,45,3,1,4,3944,4306,5,11,3,3,80,0,6,3,3,3,2,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
26,24,23,4,-9,18,-24,673,11,2,1,1,96,4,2,3,4011,8232,0,18,3,4,80,1,5,5,2,4,2,1,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
27,36,27,17,2,10,-8,1218,9,4,1,3,82,2,1,1,3407,6986,7,23,4,2,80,0,10,4,3,5,3,0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
28,34,21,18,-9,17,-22,419,7,4,1,1,53,3,3,2,11994,21293,0,11,3,3,80,0,13,4,3,12,6,2,11,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
30,21,20,7,3,17,-10,391,15,2,1,3,96,3,1,4,1232,19281,1,14,3,4,80,0,0,6,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
31,34,20,1,-3,15,-14,699,6,1,1,2,83,3,1,1,2960,17102,2,11,3,3,80,0,8,2,3,4,2,1,3,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
32,53,21,11,-7,17,-15,1282,5,3,1,3,58,3,5,3,19094,10735,4,11,3,4,80,1,26,3,2,14,13,4,8,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
33,32,26,0,14,11,-16,1125,16,1,1,2,72,1,1,1,3919,4681,1,22,4,2,80,0,10,5,3,10,2,6,7,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
35,42,13,6,-2,14,-16,691,8,4,1,3,48,3,2,2,6825,21173,0,11,3,4,80,1,10,2,3,9,7,4,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
36,44,21,-4,-8,13,-29,477,7,4,1,1,42,2,3,4,10248,2094,3,14,3,4,80,1,24,4,3,22,6,5,17,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
38,46,18,13,1,14,-7,705,2,4,1,2,83,3,5,1,18947,22822,3,12,3,4,80,0,22,2,2,2,2,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
39,33,18,1,-3,18,-24,924,2,3,1,3,78,3,1,4,2496,6670,4,11,3,4,80,0,7,3,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
40,44,27,7,-4,14,-20,1459,10,4,1,4,41,3,2,4,6465,19121,2,13,3,4,80,0,9,5,4,4,2,1,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
41,30,18,14,10,14,-10,125,9,2,1,4,83,2,1,3,2206,16117,1,13,3,1,80,0,10,5,3,10,0,1,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
42,39,28,-8,16,21,-27,895,5,3,1,4,56,3,2,4,2086,3335,3,14,3,3,80,1,19,6,4,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
45,24,9,-5,-12,5,-19,813,1,3,1,2,61,3,1,4,2293,3020,2,16,3,1,80,1,6,2,2,2,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
46,43,24,21,-3,13,-31,1273,2,2,1,4,72,4,1,3,2645,21923,1,12,3,4,80,2,6,3,2,5,3,1,4,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
47,50,26,14,-9,17,-13,869,3,2,1,1,86,2,1,3,2683,3810,1,14,3,3,80,0,3,2,3,3,2,0,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
49,35,28,12,-2,20,-17,890,2,3,1,4,97,3,1,4,2014,9687,1,13,3,1,80,0,2,3,3,2,2,2,2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
51,36,27,-2,-9,5,-12,852,5,4,1,2,82,2,1,1,3419,13072,9,14,3,4,80,1,6,3,4,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1
52,33,21,17,-9,17,-17,1141,1,3,1,3,42,4,2,1,5376,3193,2,19,3,1,80,2,10,3,3,5,3,1,3,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
53,35,32,18,16,-6,2,464,4,2,1,3,75,3,1,4,1951,10910,1,12,3,3,80,1,1,3,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
54,27,17,16,5,17,-29,1240,2,4,1,4,33,3,1,1,2341,19715,1,13,3,4,80,1,1,6,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
55,26,18,9,-7,9,-21,1357,25,3,1,1,48,1,1,3,2293,10558,1,12,3,3,80,0,1,2,2,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
56,27,25,24,18,16,-32,994,8,3,1,4,37,3,3,3,8726,2975,1,15,3,4,80,0,9,0,3,9,8,1,7,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
57,30,20,9,-9,26,-28,721,1,2,1,3,58,3,2,4,4011,10781,1,23,4,4,80,0,12,2,3,12,8,3,7,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
58,41,26,17,11,17,-25,1360,12,3,1,2,49,3,5,3,19545,16280,1,12,3,4,80,0,23,0,3,22,15,15,8,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
60,34,17,7,-14,1,-14,1065,23,4,1,2,72,3,2,3,4568,10034,0,20,4,3,80,0,10,2,3,9,5,8,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
61,37,22,25,10,17,-6,408,19,2,1,2,73,3,1,2,3022,10227,4,21,4,1,80,0,8,1,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
62,46,26,-7,-20,13,-36,1211,5,4,1,1,98,3,2,4,5772,20445,4,21,4,3,80,0,14,4,3,9,6,0,8,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
63,35,25,0,-2,7,-27,1229,8,1,1,4,36,4,1,4,2269,4892,1,19,3,4,80,0,1,2,3,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
64,48,18,11,-12,13,-27,626,1,2,1,1,98,2,3,3,5381,19294,9,13,3,4,80,0,23,2,3,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
65,28,26,-4,-5,6,-36,1434,5,4,1,3,50,3,1,3,3441,11179,1,13,3,3,80,0,2,3,2,2,2,2,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
68,44,24,1,1,6,-25,1488,1,5,1,2,75,3,2,1,5454,4009,5,21,4,3,80,1,9,2,2,4,3,1,3,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1
70,35,14,20,2,21,-12,1097,11,2,1,3,79,2,3,1,9884,8302,2,13,3,3,80,1,10,3,3,4,0,2,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
72,26,28,18,6,6,-20,1443,23,3,1,3,47,2,2,4,4157,21436,7,19,3,3,80,1,5,2,2,2,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1
73,33,14,3,-10,6,-24,515,1,2,1,1,98,3,3,4,13458,15146,1,12,3,3,80,0,15,1,3,15,14,8,12,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
74,35,19,10,-2,7,-32,853,18,5,1,2,71,3,3,1,9069,11031,1,22,4,4,80,1,9,3,2,9,8,1,8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
75,35,16,-4,0,12,-25,1142,23,4,1,3,30,3,1,1,4014,16002,3,15,3,3,80,1,4,3,3,2,2,2,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1
76,31,27,11,-15,22,-24,655,7,4,1,4,48,3,2,4,5915,9528,3,22,4,4,80,1,10,3,2,7,7,1,7,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
77,37,26,13,12,24,-23,1115,1,4,1,1,51,2,2,3,5993,2689,1,18,3,3,80,1,7,2,4,7,5,0,7,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
78,32,19,20,13,23,-17,427,1,3,1,1,33,3,2,4,6162,10877,1,22,4,2,80,1,9,3,3,9,8,7,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
79,38,14,13,7,18,-31,653,29,5,1,4,50,3,2,4,2406,5456,1,11,3,4,80,0,10,2,3,10,3,9,9,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
80,50,16,0,-4,6,-25,989,7,2,1,2,43,2,5,3,18740,16701,5,12,3,4,80,1,29,2,2,27,3,13,8,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
81,59,23,6,9,21,-7,1435,25,3,1,1,99,3,3,1,7637,2354,7,11,3,4,80,0,28,3,2,21,16,7,9,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
83,36,22,18,-4,13,-4,1223,8,3,1,3,59,3,3,3,10096,8202,1,13,3,2,80,3,17,2,3,17,14,12,8,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
84,55,22,3,2,19,-17,836,8,3,1,4,33,3,4,3,14756,19730,2,14,3,3,80,3,21,2,3,5,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
85,36,16,6,-7,16,-30,1195,11,3,1,2,95,2,2,2,6499,22656,1,13,3,3,80,0,6,3,3,6,5,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
86,45,21,25,5,22,-7,1339,7,3,1,2,59,3,3,1,9724,18787,2,17,3,3,80,1,25,2,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
88,35,13,18,0,16,-33,664,1,3,1,2,79,3,1,1,2194,5868,4,13,3,4,80,1,5,2,2,3,2,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
90,36,21,3,10,21,-19,318,9,3,1,4,79,2,1,3,3388,21777,0,17,3,1,80,1,2,0,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
91,59,19,9,9,20,-10,1225,1,1,1,1,57,2,2,3,5473,24668,7,11,3,4,80,0,20,2,2,4,3,1,3,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
94,29,24,11,-5,18,-36,1328,2,3,1,3,76,3,1,2,2703,4956,0,23,4,4,80,1,6,3,3,5,4,0,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
95,31,28,-2,0,15,-20,1082,1,4,1,3,87,3,1,2,2501,18775,1,17,3,2,80,0,1,4,3,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
96,32,16,-1,-12,19,-26,548,1,3,1,2,66,3,2,2,6220,7346,1,17,3,2,80,2,10,3,3,10,4,0,9,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
97,36,28,-5,4,11,-15,132,6,3,1,2,55,4,1,4,3038,22002,3,12,3,2,80,0,5,3,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
98,31,25,10,-17,20,-24,746,8,4,1,3,61,3,2,4,4424,20682,1,23,4,4,80,0,11,2,3,11,7,1,8,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
100,35,15,13,-5,24,-24,776,1,4,1,3,32,2,2,1,4312,23016,0,14,3,2,80,0,16,2,3,15,13,2,8,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
101,45,22,12,-14,-2,-30,193,6,4,1,4,52,3,3,1,13245,15067,4,14,3,2,80,0,17,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
102,37,20,22,-5,17,-24,397,7,4,1,1,30,3,3,3,13664,25258,4,13,3,1,80,0,16,3,4,5,2,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
103,46,26,-1,4,22,-31,945,5,2,1,2,80,3,2,2,5021,10425,8,22,4,4,80,1,16,2,3,4,2,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
104,30,31,7,5,18,-34,852,1,1,1,4,55,2,2,4,5126,15998,1,12,3,3,80,2,10,1,2,10,8,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
105,35,22,5,-7,6,-34,1214,1,3,1,2,30,2,1,3,2859,26278,1,18,3,1,80,0,6,3,3,6,4,0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
106,55,15,16,1,16,-18,111,1,2,1,1,70,3,3,4,10239,18092,3,14,3,4,80,1,24,4,3,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
107,38,18,17,15,17,-6,573,6,3,1,2,79,1,2,4,5329,15717,7,12,3,4,80,3,17,3,3,13,11,1,9,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
110,34,27,16,17,21,-15,1153,1,2,1,1,94,3,2,2,4325,17736,1,15,3,3,80,0,5,2,3,5,2,1,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
112,56,21,15,9,12,-10,1400,7,3,1,4,49,1,3,4,7260,21698,4,11,3,1,80,0,37,3,2,6,4,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
113,23,21,5,-1,4,-24,541,2,1,1,3,62,3,1,1,2322,9518,3,13,3,3,80,1,3,3,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
116,51,27,6,2,8,-24,432,9,4,1,4,96,3,1,4,2075,18725,3,23,4,2,80,2,10,4,3,4,2,0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
117,30,13,13,7,13,-8,288,2,3,1,3,99,2,2,4,4152,15830,1,19,3,1,80,3,11,3,3,11,10,10,8,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
118,46,31,-1,-17,22,-16,669,9,2,1,3,64,2,3,4,9619,13596,1,16,3,4,80,0,9,3,3,9,8,4,7,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
119,40,15,14,-4,18,-16,530,1,4,1,3,78,2,4,2,13503,14115,1,22,4,4,80,1,22,3,2,22,3,11,11,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
120,51,32,7,5,26,-27,632,21,4,1,3,71,3,2,4,5441,8423,0,22,4,4,80,0,11,2,1,10,7,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
121,30,20,26,0,18,-6,1334,4,2,1,3,63,2,2,2,5209,19760,1,12,3,2,80,3,11,4,2,11,8,2,7,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1
124,46,23,11,10,13,-8,638,1,3,1,3,40,2,3,1,10673,3142,2,13,3,3,80,1,21,5,2,10,9,9,5,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
125,32,18,6,1,8,-2,1093,6,4,1,2,87,3,2,3,5010,24301,1,16,3,1,80,0,12,0,3,11,8,5,7,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
126,54,16,6,-9,18,-31,1217,2,4,1,1,60,3,3,3,13549,24001,9,12,3,1,80,1,16,5,1,4,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
128,24,20,-3,-10,7,-17,1353,3,2,1,1,33,3,2,3,4999,17519,0,21,4,1,80,1,4,2,2,3,2,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
129,28,30,3,9,20,-17,120,4,3,1,2,43,3,2,3,4221,8863,1,15,3,2,80,0,5,3,4,5,4,0,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
131,58,26,20,11,22,-7,682,10,4,1,4,37,3,4,3,13872,24409,0,13,3,3,80,0,38,1,2,37,10,1,8,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
132,44,28,16,3,22,-18,489,23,3,1,2,67,3,2,2,2042,25043,4,12,3,3,80,1,17,3,4,3,2,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
133,37,10,2,-8,16,-24,807,6,4,1,3,63,3,1,1,2073,23648,4,22,4,4,80,0,7,3,3,3,2,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
134,32,32,13,-4,25,-23,827,1,1,1,4,71,3,1,1,2956,15178,1,13,3,4,80,0,1,2,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
137,20,23,0,-8,19,-31,871,6,3,1,4,66,2,1,4,2926,19783,1,18,3,2,80,0,1,5,3,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
138,34,19,16,-19,4,-9,665,6,4,1,1,41,3,2,3,4809,12482,1,14,3,3,80,0,16,3,3,16,13,2,10,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
139,37,25,9,-1,18,-10,1040,2,2,1,3,100,2,2,4,5163,15850,5,14,3,4,80,1,17,2,4,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
