,EmployeeNumber,Age,Attrition,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
13,18,34,No,21,19,-13,9,-28,Travel_Rarely,1346,Research & Development,19,2,Medical,1,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2
14,19,28,Yes,18,16,-4,16,-15,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3
15,20,29,No,29,18,-2,-7,-7,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8
16,21,32,No,29,12,-10,-7,-15,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5
17,22,22,No,17,6,16,22,-24,Non-Travel,1123,Research & Development,16,2,Medical,1,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0
18,23,53,No,19,22,-10,10,-18,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,1,Female,78,2,4,Manager,4,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7
19,24,38,No,22,9,-2,11,-19,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2
20,26,24,No,23,4,-9,18,-24,Non-Travel,673,Research & Development,11,2,Other,1,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3
21,27,36,Yes,27,17,2,10,-8,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3
22,28,34,No,21,18,-9,17,-22,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11
23,30,21,No,20,7,3,17,-10,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0
24,31,34,Yes,20,1,-3,15,-14,Travel_Rarely,699,Research & Development,6,1,Medical,1,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3
25,32,53,No,21,11,-7,17,-15,Travel_Rarely,1282,Research & Development,5,3,Other,1,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8
26,33,32,Yes,26,0,14,11,-16,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7
27,35,42,No,13,6,-2,14,-16,Travel_Rarely,691,Sales,8,4,Marketing,1,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2
28,36,44,No,21,-4,-8,13,-29,Travel_Rarely,477,Research & Development,7,4,Medical,1,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17
29,38,46,No,18,13,1,14,-7,Travel_Rarely,705,Sales,2,4,Marketing,1,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1
30,39,33,No,18,1,-3,18,-24,Travel_Rarely,924,Research & Development,2,3,Medical,1,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0
31,40,44,No,27,7,-4,14,-20,Travel_Rarely,1459,Research & Development,10,4,Other,1,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3
32,41,30,No,18,14,10,14,-10,Travel_Rarely,125,Research & Development,9,2,Medical,1,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8
33,42,39,Yes,28,-8,16,21,-27,Travel_Rarely,895,Sales,5,3,Technical Degree,1,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0
34,45,24,Yes,9,-5,-12,5,-19,Travel_Rarely,813,Research & Development,1,3,Medical,1,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0
35,46,43,No,24,21,-3,13,-31,Travel_Rarely,1273,Research & Development,2,2,Medical,1,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4
36,47,50,Yes,26,14,-9,17,-13,Travel_Rarely,869,Sales,3,2,Marketing,1,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2
37,49,35,No,28,12,-2,20,-17,Travel_Rarely,890,Sales,2,3,Marketing,1,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2
38,51,36,No,27,-2,-9,5,-12,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0
39,52,33,No,21,17,-9,17,-17,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3
40,53,35,No,32,18,16,-6,2,Travel_Rarely,464,Research & Development,4,2,Other,1,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0
41,54,27,No,17,16,5,17,-29,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0
42,55,26,Yes,18,9,-7,9,-21,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1
43,56,27,No,25,24,18,16,-32,Travel_Frequently,994,Sales,8,3,Life Sciences,1,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7
44,57,30,No,20,9,-9,26,-28,Travel_Frequently,721,Research & Development,1,2,Medical,1,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7
45,58,41,Yes,26,17,11,17,-25,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8
46,60,34,No,17,7,-14,1,-14,Non-Travel,1065,Sales,23,4,Marketing,1,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7
47,61,37,No,22,25,10,17,-6,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0
48,62,46,No,26,-7,-20,13,-36,Travel_Frequently,1211,Sales,5,4,Marketing,1,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8
49,63,35,No,25,0,-2,7,-27,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1
50,64,48,Yes,18,11,-12,13,-27,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0
51,65,28,Yes,26,-4,-5,6,-36,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2
52,68,44,No,24,1,1,6,-25,Travel_Rarely,1488,Sales,1,5,Marketing,1,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3
53,70,35,No,14,20,2,21,-12,Non-Travel,1097,Research & Development,11,2,Medical,1,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3
54,72,26,No,28,18,6,6,-20,Travel_Rarely,1443,Sales,23,3,Marketing,1,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0
55,73,33,No,14,3,-10,6,-24,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12
56,74,35,No,19,10,-2,7,-32,Travel_Frequently,853,Sales,18,5,Life Sciences,1,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8
57,75,35,No,16,-4,0,12,-25,Travel_Rarely,1142,Research & Development,23,4,Medical,1,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2
58,76,31,No,27,11,-15,22,-24,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7
59,77,37,No,26,13,12,24,-23,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7
60,78,32,No,19,20,13,23,-17,Travel_Rarely,427,Research & Development,1,3,Medical,1,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8
61,79,38,No,14,13,7,18,-31,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9
62,80,50,No,16,0,-4,6,-25,Travel_Rarely,989,Research & Development,7,2,Medical,1,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8
63,81,59,No,23,6,9,21,-7,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9
64,83,36,No,22,18,-4,13,-4,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8
65,84,55,No,22,3,2,19,-17,Travel_Rarely,836,Research & Development,8,3,Medical,1,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2
66,85,36,No,16,6,-7,16,-30,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3
67,86,45,No,21,25,5,22,-7,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0
68,88,35,No,13,18,0,16,-33,Travel_Frequently,664,Research & Development,1,3,Medical,1,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2
69,90,36,Yes,21,3,10,21,-19,Travel_Rarely,318,Research & Development,9,3,Medical,1,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0
70,91,59,No,19,9,9,20,-10,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3
71,94,29,No,24,11,-5,18,-36,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4
72,95,31,No,28,-2,0,15,-20,Travel_Rarely,1082,Research & Development,1,4,Medical,1,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0
73,96,32,No,16,-1,-12,19,-26,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9
74,97,36,No,28,-5,4,11,-15,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0
75,98,31,No,25,10,-17,20,-24,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8
76,100,35,No,15,13,-5,24,-24,Travel_Rarely,776,Sales,1,4,Marketing,1,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8
77,101,45,No,22,12,-14,-2,-30,Travel_Rarely,193,Research & Development,6,4,Other,1,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0
78,102,37,No,20,22,-5,17,-24,Travel_Rarely,397,Research & Development,7,4,Medical,1,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2
79,103,46,No,26,-1,4,22,-31,Travel_Rarely,945,Human Resources,5,2,Medical,1,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2
80,104,30,No,31,7,5,18,-34,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0
81,105,35,No,22,5,-7,6,-34,Travel_Rarely,1214,Research & Development,1,3,Medical,1,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4
82,106,55,No,15,16,1,16,-18,Travel_Rarely,111,Sales,1,2,Life Sciences,1,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0
83,107,38,No,18,17,15,17,-6,Non-Travel,573,Research & Development,6,3,Medical,1,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9
84,110,34,No,27,16,17,21,-15,Travel_Rarely,1153,Research & Development,1,2,Medical,1,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3
85,112,56,No,21,15,9,12,-10,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2
86,113,23,No,21,5,-1,4,-24,Travel_Rarely,541,Sales,2,1,Technical Degree,1,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0
87,116,51,No,27,6,2,8,-24,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3
88,117,30,No,13,13,7,13,-8,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8
89,118,46,Yes,31,-1,-17,22,-16,Travel_Rarely,669,Sales,9,2,Medical,1,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7
90,119,40,No,15,14,-4,18,-16,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11
91,120,51,No,32,7,5,26,-27,Travel_Rarely,632,Sales,21,4,Marketing,1,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0
92,121,30,No,20,26,0,18,-6,Travel_Rarely,1334,Sales,4,2,Medical,1,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7
93,124,46,No,23,11,10,13,-8,Travel_Frequently,638,Research & Development,1,3,Medical,1,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5
94,125,32,No,18,6,1,8,-2,Travel_Rarely,1093,Sales,6,4,Medical,1,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7
95,126,54,No,16,6,-9,18,-31,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,1,Female,60,3,3,Research Director,3,Married,13549,24001,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3
96,128,24,No,20,-3,-10,7,-17,Travel_Rarely,1353,Sales,3,2,Other,1,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2
97,129,28,No,30,3,9,20,-17,Non-Travel,120,Sales,4,3,Medical,1,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4
98,131,58,No,26,20,11,22,-7,Travel_Rarely,682,Sales,10,4,Medical,1,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8
99,132,44,No,28,16,3,22,-18,Non-Travel,489,Research & Development,23,3,Medical,1,2,Male,67,3,2,Laboratory Technician,2,Married,2042,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2
100,133,37,Yes,10,2,-8,16,-24,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,3,Male,63,3,1,Human Resources,1,Divorced,2073,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2
101,134,32,No,32,13,-4,25,-23,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,4,Male,71,3,1,Research Scientist,1,Single,2956,15178,1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0
102,137,20,Yes,23,0,-8,19,-31,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,4,Female,66,2,1,Laboratory Technician,4,Single,2926,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0
103,138,34,No,19,16,-19,4,-9,Travel_Rarely,665,Research & Development,6,4,Other,1,1,Female,41,3,2,Research Scientist,3,Single,4809,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10
104,139,37,No,25,9,-1,18,-10,Non-Travel,1040,Research & Development,2,2,Life Sciences,1,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163,15850,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0
105,140,59,No,24,2,-4,5,-23,Non-Travel,1420,Human Resources,2,4,Human Resources,1,3,Female,32,2,5,Manager,4,Married,18844,21922,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2
106,141,50,No,20,9,0,17,-11,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,1,Female,73,3,5,Research Director,2,Married,18172,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7
107,142,25,Yes,16,1,-3,7,-26,Travel_Rarely,240,Sales,5,3,Marketing,1,3,Male,46,2,2,Sales Executive,3,Single,5744,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3
108,143,25,No,4,4,-14,3,-25,Travel_Rarely,1280,Research & Development,7,1,Medical,1,4,Male,64,2,1,Research Scientist,4,Married,2889,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1
109,144,22,No,28,22,16,22,-6,Travel_Rarely,534,Research & Development,15,3,Medical,1,2,Female,59,3,1,Laboratory Technician,4,Single,2871,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0
110,145,51,No,21,7,-11,11,-27,Travel_Frequently,1456,Research & Development,1,4,Medical,1,1,Female,30,2,3,Healthcare Representative,1,Single,7484,25796,3,Y,No,20,4,3,80,0,23,1,2,13,12,12,8
111,147,34,Yes,14,4,-8,9,-15,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,1,Male,66,1,2,Laboratory Technician,3,Single,6074,22887,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,0,6
112,148,54,No,24,3,18,26,-8,Non-Travel,142,Human Resources,26,3,Human Resources,1,4,Female,30,4,4,Manager,4,Single,17328,13871,2,Y,Yes,12,3,3,80,0,23,3,3,5,3,4,4
113,150,24,No,25,-1,14,17,-22,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,2,Male,52,3,1,Laboratory Technician,3,Married,2774,13257,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2
114,151,34,No,16,10,-6,19,-20,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,1,3,Female,45,2,2,Research Scientist,2,Divorced,4505,15000,6,Y,No,15,3,3,80,1,12,3,3,1,0,0,0
115,152,37,No,29,10,-2,10,-23,Travel_Rarely,1189,Sales,3,3,Life Sciences,1,3,Male,87,3,3,Sales Executive,4,Single,7428,14506,2,Y,No,12,3,1,80,0,12,3,3,5,3,1,3
116,153,34,No,30,8,16,1,-22,Travel_Rarely,1354,Research & Development,5,3,Medical,1,3,Female,45,2,3,Manager,1,Single,11631,5615,2,Y,No,12,3,4,80,0,14,6,3,11,10,5,8
117,154,36,No,23,26,-14,12,-20,Travel_Frequently,1467,Sales,11,2,Technical Degree,1,2,Female,92,3,3,Sales Executive,4,Married,9738,22952,0,Y,No,14,3,3,80,1,10,6,3,9,7,2,8
118,155,36,No,10,14,-1,24,-16,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835,2561,5,Y,No,22,4,1,80,1,7,2,3,1,0,0,0
119,158,43,No,27,12,4,20,-4,Travel_Frequently,394,Sales,26,2,Life Sciences,1,3,Male,92,3,4,Manager,4,Married,16959,19494,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,4,12
120,159,30,No,31,18,13,18,-5,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,1,Male,96,1,1,Research Scientist,3,Divorced,2613,22310,1,Y,No,25,4,3,80,3,10,2,2,10,7,0,9
