,EmployeeNumber,race,age,English,gender,hand,source,country,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
10,14.0,Caucasian (European),17,0,0,1,1,IT,24.0,0.0,-17.0,17.0,-24.0,1.0,2,1.0,1,2.0,1,2.0,1,1.0,1.0,3,1.0,3,4.0,1.0,3.0,3.0,2.0,3.0,4.0,4,4.0,4,5.0,5,5.0,4,3,3,3,2.0,3,2.0,1,1.0,3,3.0,3,3,5,3.0,5,3.0,4,5.0,3,5,4,5
11,15.0,Mixed Race,15,0,1,1,1,IN,20.0,6.0,0.0,11.0,-12.0,3.0,5,3.0,3,3.0,2,2.0,3,3.0,5.0,5,3.0,3,4.0,3.0,4.0,3.0,4.0,2.0,2.0,4,4.0,2,1.0,5,4.0,5,4,4,3,3.0,4,3.0,3,1.0,3,3.0,3,4,3,5.0,4,5.0,4,1.0,4,3,4,5
12,16.0,Mixed Race,22,1,0,1,2,US,19.0,15.0,4.0,22.0,-17.0,3.0,4,4.0,4,4.0,2,3.0,4,3.0,3.0,3,3.0,3,4.0,4.0,2.0,2.0,4.0,3.0,5.0,4,5.0,5,5.0,5,4.0,4,5,4,4,4.0,4,4.0,3,2.0,4,5.0,5,4,3,4.0,4,4.0,3,4.0,3,3,5,4
13,18.0,Caucasian (European),21,1,0,1,5,US,21.0,19.0,-13.0,9.0,-28.0,3.0,2,1.0,1,5.0,1,1.0,1,1.0,1.0,3,1.0,2,1.0,1.0,3.0,4.0,1.0,3.0,5.0,1,5.0,4,4.0,3,1.0,4,4,2,5,4.0,5,5.0,3,4.0,5,4.0,4,4,3,5.0,3,3.0,4,5.0,4,3,5,4
14,19.0,Caucasian (European),28,0,0,1,2,US,18.0,16.0,-4.0,16.0,-15.0,3.0,3,2.0,3,4.0,2,2.0,3,1.0,4.0,4,2.0,4,2.0,2.0,4.0,4.0,3.0,4.0,5.0,4,4.0,4,4.0,4,4.0,4,3,4,4,4.0,4,4.0,4,4.0,4,4.0,4,4,3,4.0,4,3.0,4,4.0,4,2,4,4
15,20.0,Caucasian (European),21,1,1,1,5,US,29.0,18.0,-2.0,-7.0,-7.0,3.0,2,3.0,3,5.0,1,3.0,4,2.0,4.0,4,4.0,4,5.0,4.0,4.0,4.0,4.0,4.0,2.0,2,2.0,2,1.0,2,1.0,2,1,2,4,4.0,4,5.0,3,4.0,4,5.0,4,5,4,5.0,5,5.0,5,5.0,4,4,5,5
16,21.0,Mixed Race,19,1,0,1,2,FR,29.0,12.0,-10.0,-7.0,-15.0,3.0,2,2.0,2,2.0,1,2.0,3,2.0,2.0,2,3.0,2,5.0,3.0,5.0,4.0,4.0,3.0,2.0,2,3.0,1,2.0,1,1.0,3,1,1,4,3.0,5,4.0,2,2.0,3,5.0,3,5,5,5.0,4,5.0,4,5.0,5,5,5,4
17,22.0,Caucasian (European),21,1,0,1,5,US,17.0,6.0,16.0,22.0,-24.0,5.0,5,4.0,5,5.0,5,3.0,5,5.0,1.0,2,1.0,2,3.0,3.0,3.0,3.0,2.0,4.0,5.0,5,4.0,5,4.0,5,5.0,5,5,3,3,2.0,3,3.0,1,5.0,3,3.0,4,3,3,5.0,3,3.0,3,3.0,5,4,3,3
18,23.0,Caucasian (European),26,1,0,2,5,GB,19.0,22.0,-10.0,10.0,-18.0,3.0,4,3.0,1,2.0,1,2.0,1,1.0,2.0,2,1.0,2,5.0,2.0,4.0,4.0,4.0,4.0,4.0,2,4.0,2,4.0,5,4.0,4,2,3,4,5.0,5,5.0,4,4.0,5,5.0,5,4,4,5.0,4,4.0,4,4.0,5,3,2,2
19,24.0,Caucasian (European),26,1,0,1,1,US,22.0,9.0,-2.0,11.0,-19.0,4.0,3,3.0,3,3.0,1,3.0,3,3.0,2.0,4,3.0,1,3.0,4.0,4.0,4.0,2.0,2.0,5.0,3,4.0,4,3.0,2,3.0,3,4,4,1,4.0,5,4.0,2,5.0,4,4.0,2,2,4,4.0,5,4.0,2,5.0,5,3,4,4
20,26.0,Mixed Race,19,0,0,1,1,LT,23.0,4.0,-9.0,18.0,-24.0,2.0,2,1.0,3,2.0,2,2.0,3,3.0,2.0,4,2.0,4,2.0,2.0,1.0,1.0,2.0,4.0,2.0,5,5.0,5,4.0,4,5.0,4,5,3,2,3.0,4,1.0,3,2.0,2,5.0,1,5,5,3.0,5,4.0,4,5.0,4,3,4,4
21,27.0,Mixed Race,29,0,0,1,1,US,27.0,17.0,2.0,10.0,-8.0,3.0,4,4.0,4,5.0,3,2.0,2,3.0,5.0,2,4.0,3,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4,3.0,3,5.0,2,4.0,4,2,3,4,3.0,5,5.0,4,4.0,4,5.0,3,4,5,5.0,4,5.0,4,5.0,5,4,4,4
22,28.0,Caucasian (European),29,1,0,1,2,US,21.0,18.0,-9.0,17.0,-22.0,3.0,1,2.0,2,2.0,1,3.0,3,2.0,3.0,3,1.0,2,3.0,3.0,2.0,3.0,3.0,3.0,5.0,4,5.0,4,4.0,4,3.0,5,4,3,4,4.0,4,4.0,4,5.0,5,4.0,4,4,4,4.0,5,3.0,4,4.0,3,4,5,3
23,30.0,Caucasian (European),21,1,1,0,2,CA,20.0,7.0,3.0,17.0,-10.0,3.0,4,3.0,4,3.0,3,3.0,4,3.0,3.0,4,3.0,5,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4,4.0,4,4.0,5,4.0,4,4,3,3,2.0,5,3.0,2,2.0,3,4.0,4,3,3,4.0,4,4.0,4,4.0,5,2,5,3
24,31.0,Caucasian (European),52,1,0,1,1,US,20.0,1.0,-3.0,15.0,-14.0,2.0,4,2.0,2,3.0,3,3.0,4,1.0,2.0,4,2.0,3,4.0,4.0,3.0,4.0,5.0,3.0,5.0,4,5.0,5,3.0,3,3.0,3,4,4,3,1.0,4,3.0,1,1.0,4,2.0,2,4,4,3.0,4,2.0,4,4.0,4,4,5,4
25,32.0,Caucasian (European),19,0,0,1,1,GR,21.0,11.0,-7.0,17.0,-15.0,3.0,2,2.0,2,3.0,3,4.0,2,1.0,1.0,4,2.0,3,4.0,3.0,5.0,5.0,3.0,3.0,1.0,4,5.0,5,5.0,3,5.0,4,5,4,4,5.0,5,4.0,1,2.0,3,5.0,2,4,3,1.0,5,5.0,4,5.0,5,3,3,5
26,33.0,Caucasian (European),48,1,1,1,2,US,26.0,0.0,14.0,11.0,-16.0,1.0,4,5.0,5,5.0,5,5.0,5,4.0,3.0,4,2.0,5,3.0,3.0,2.0,3.0,3.0,4.0,2.0,5,2.0,4,2.0,4,5.0,2,4,5,2,1.0,2,1.0,1,1.0,3,3.0,5,5,4,5.0,5,5.0,5,5.0,4,4,2,5
27,35.0,Caucasian (European),22,1,1,1,4,US,13.0,6.0,-2.0,14.0,-16.0,3.0,4,3.0,2,4.0,3,2.0,2,2.0,2.0,3,2.0,3,4.0,4.0,3.0,3.0,4.0,4.0,5.0,2,5.0,3,4.0,4,4.0,4,4,3,3,3.0,3,3.0,4,3.0,3,3.0,3,2,2,3.0,4,3.0,3,4.0,3,2,4,3
28,36.0,Mixed Race,17,1,0,1,1,US,21.0,-4.0,-8.0,13.0,-29.0,2.0,3,2.0,2,4.0,4,1.0,1,1.0,1.0,4,1.0,1,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5,1.0,4,5.0,5,5.0,4,2,3,2,1.0,3,2.0,1,4.0,2,1.0,3,1,4,3.0,3,5.0,4,4.0,3,3,5,5
29,38.0,Caucasian (European),37,0,1,1,3,DK,18.0,13.0,1.0,14.0,-7.0,3.0,3,3.0,2,4.0,4,4.0,3,2.0,5.0,3,2.0,5,4.0,3.0,5.0,5.0,4.0,5.0,5.0,4,3.0,4,3.0,3,4.0,4,4,4,4,5.0,4,4.0,4,5.0,2,3.0,2,4,3,4.0,4,3.0,4,4.0,4,3,4,3
30,39.0,Mixed Race,19,1,0,1,1,US,18.0,1.0,-3.0,18.0,-24.0,4.0,1,1.0,4,5.0,3,3.0,1,1.0,2.0,4,1.0,2,4.0,2.0,2.0,3.0,2.0,2.0,4.0,5,2.0,5,4.0,5,4.0,4,5,4,1,5.0,3,1.0,1,2.0,3,5.0,1,3,3,3.0,5,3.0,3,5.0,3,3,3,5
31,40.0,Caucasian (European),22,1,0,1,1,US,27.0,7.0,-4.0,14.0,-20.0,3.0,3,2.0,3,4.0,4,1.0,2,2.0,1.0,3,1.0,2,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3,4.0,4,3.0,3,3.0,4,5,5,3,2.0,5,3.0,2,4.0,3,3.0,3,3,4,5.0,5,5.0,4,4.0,5,3,5,5
32,41.0,Caucasian (European),25,1,1,0,4,US,18.0,14.0,10.0,14.0,-10.0,4.0,4,4.0,4,4.0,4,4.0,4,4.0,4.0,4,2.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,3.0,4,4.0,3,4.0,4,4,4,4,3.0,4,3.0,4,4.0,4,4.0,4,4,3,4.0,2,4.0,4,4.0,4,3,4,4
33,42.0,Caucasian (European),20,1,0,1,1,US,28.0,-8.0,16.0,21.0,-27.0,4.0,4,5.0,5,5.0,5,5.0,5,3.0,2.0,3,2.0,1,5.0,2.0,1.0,1.0,2.0,2.0,5.0,5,2.0,4,5.0,5,5.0,5,5,4,2,1.0,1,2.0,1,1.0,1,5.0,1,1,5,5.0,4,5.0,4,5.0,4,5,5,4
34,45.0,Caucasian (European),15,1,0,0,1,GB,9.0,-5.0,-12.0,5.0,-19.0,2.0,3,2.0,3,3.0,1,1.0,1,1.0,3.0,3,2.0,3,5.0,3.0,2.0,4.0,2.0,2.0,2.0,3,3.0,3,3.0,5,1.0,3,3,3,2,1.0,3,1.0,1,2.0,3,1.0,2,3,2,3.0,4,3.0,2,3.0,3,1,3,3
35,46.0,Caucasian (European),46,1,0,0,3,US,24.0,21.0,-3.0,13.0,-31.0,4.0,3,3.0,3,5.0,1,2.0,2,3.0,2.0,2,1.0,1,2.0,1.0,2.0,2.0,3.0,1.0,5.0,3,5.0,5,3.0,4,2.0,2,5,3,5,4.0,5,5.0,2,5.0,5,5.0,4,5,5,5.0,4,3.0,3,4.0,5,5,5,3
36,47.0,Caucasian (European),15,1,1,1,1,GB,26.0,14.0,-9.0,17.0,-13.0,1.0,2,1.0,2,4.0,2,3.0,4,1.0,5.0,4,2.0,2,4.0,4.0,4.0,4.0,4.0,2.0,5.0,5,2.0,5,4.0,5,4.0,5,5,1,5,5.0,5,1.0,2,4.0,5,4.0,2,5,5,2.0,5,5.0,5,5.0,5,5,2,5
37,49.0,Caucasian (European),18,1,0,0,2,US,28.0,12.0,-2.0,20.0,-17.0,3.0,3,3.0,4,5.0,1,3.0,1,3.0,4.0,4,3.0,2,3.0,4.0,2.0,3.0,4.0,2.0,5.0,4,5.0,4,5.0,4,4.0,4,4,5,4,5.0,4,3.0,2,4.0,3,4.0,4,3,5,5.0,5,5.0,4,5.0,4,4,4,5
38,51.0,Caucasian (European),42,1,1,1,3,US,27.0,-2.0,-9.0,5.0,-12.0,2.0,2,2.0,2,3.0,3,2.0,2,1.0,3.0,4,3.0,3,3.0,4.0,4.0,5.0,3.0,4.0,2.0,3,4.0,3,4.0,3,3.0,2,3,2,3,1.0,3,2.0,1,1.0,2,3.0,2,4,5,5.0,3,5.0,5,4.0,4,5,5,4
39,52.0,Caucasian (European),27,1,0,1,1,US,21.0,17.0,-9.0,17.0,-17.0,4.0,2,2.0,2,4.0,1,2.0,2,1.0,3.0,4,1.0,3,2.0,4.0,3.0,4.0,3.0,4.0,5.0,4,4.0,4,4.0,4,5.0,4,4,3,4,4.0,5,4.0,5,4.0,4,4.0,4,3,4,4.0,4,4.0,3,4.0,4,4,4,4
40,53.0,Mixed Race,17,1,1,1,1,US,32.0,18.0,16.0,-6.0,2.0,5.0,1,5.0,5,5.0,5,5.0,5,5.0,5.0,5,5.0,5,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1,1.0,1,1.0,5,1.0,1,1,5,5,5.0,5,5.0,5,5.0,5,5.0,1,1,5,5.0,5,5.0,5,5.0,5,5,5,5
41,54.0,Native American,17,1,0,1,5,US,17.0,16.0,5.0,17.0,-29.0,4.0,3,3.0,3,4.0,5,3.0,5,1.0,1.0,2,1.0,4,1.0,1.0,1.0,3.0,1.0,4.0,4.0,5,4.0,4,4.0,5,4.0,5,3,3,4,5.0,4,1.0,5,4.0,5,5.0,4,3,2,4.0,1,5.0,3,5.0,4,4,5,2
42,55.0,Caucasian (North African),17,1,0,1,5,US,18.0,9.0,-7.0,9.0,-21.0,3.0,2,2.0,2,4.0,2,2.0,3,1.0,3.0,3,2.0,3,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3,4.0,4,3.0,4,3.0,3,3,3,4,4.0,5,3.0,2,3.0,4,3.0,2,3,3,3.0,4,3.0,4,4.0,4,2,4,5
43,56.0,Mixed Race,60,1,0,1,5,US,25.0,24.0,18.0,16.0,-32.0,5.0,5,5.0,5,5.0,5,5.0,5,5.0,4.0,2,1.0,1,1.0,2.0,1.0,2.0,1.0,1.0,5.0,5,1.0,5,1.0,4,5.0,4,5,5,5,5.0,5,4.0,5,5.0,5,5.0,5,4,4,4.0,4,4.0,5,5.0,5,2,5,5
44,57.0,Caucasian (European),27,1,0,1,2,CA,20.0,9.0,-9.0,26.0,-28.0,3.0,4,1.0,3,3.0,3,1.0,1,1.0,2.0,2,1.0,3,2.0,1.0,2.0,2.0,3.0,2.0,5.0,5,5.0,5,5.0,5,5.0,5,5,5,5,2.0,4,3.0,2,2.0,3,4.0,4,4,4,3.0,5,2.0,3,5.0,5,4,5,2
45,58.0,Caucasian (European),19,1,0,1,2,US,26.0,17.0,11.0,17.0,-25.0,4.0,4,3.0,5,4.0,5,4.0,5,3.0,1.0,2,2.0,2,2.0,3.0,3.0,3.0,3.0,2.0,5.0,4,4.0,4,4.0,3,5.0,3,5,4,5,3.0,3,3.0,4,3.0,5,5.0,5,5,5,4.0,4,4.0,5,5.0,4,4,4,5
46,60.0,Caucasian (European),20,1,1,1,1,US,17.0,7.0,-14.0,1.0,-14.0,1.0,2,1.0,2,3.0,1,2.0,2,1.0,3.0,4,3.0,3,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3,2.0,2,3.0,2,2.0,3,3,3,3,3.0,4,4.0,2,3.0,3,3.0,2,4,4,3.0,5,3.0,3,4.0,3,3,4,3
47,61.0,Caucasian (Indian),19,1,1,1,1,IN,22.0,25.0,10.0,17.0,-6.0,3.0,5,4.0,5,4.0,3,4.0,5,5.0,5.0,2,4.0,3,5.0,5.0,5.0,5.0,5.0,3.0,1.0,5,5.0,4,5.0,4,4.0,4,4,5,5,5.0,5,5.0,5,5.0,4,5.0,5,5,4,4.0,3,5.0,4,5.0,5,1,5,4
48,62.0,Mixed Race,26,0,0,1,1,US,26.0,-7.0,-20.0,13.0,-36.0,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1.0,2,1.0,1,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3,5.0,4,3.0,5,4.0,4,4,3,1,2.0,2,1.0,1,1.0,3,1.0,3,2,5,4.0,5,5.0,4,5.0,2,5,5,4
49,63.0,Caucasian (North African),24,0,1,1,1,MX,25.0,0.0,-2.0,7.0,-27.0,4.0,3,1.0,4,5.0,1,3.0,4,2.0,2.0,3,1.0,3,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3,1.0,4,5.0,5,3.0,3,3,2,4,1.0,4,2.0,1,2.0,3,2.0,2,3,4,4.0,5,4.0,5,3.0,5,4,4,5
50,64.0,Caucasian (European),19,1,0,0,1,US,18.0,11.0,-12.0,13.0,-27.0,2.0,2,2.0,1,4.0,1,2.0,2,1.0,1.0,2,1.0,2,4.0,2.0,1.0,2.0,3.0,3.0,4.0,4,3.0,5,4.0,4,4.0,3,4,2,4,3.0,5,2.0,2,2.0,5,4.0,4,4,4,3.0,4,3.0,3,4.0,4,3,4,4
51,65.0,Caucasian (European),18,1,0,1,5,GB,26.0,-4.0,-5.0,6.0,-36.0,3.0,2,1.0,2,5.0,1,3.0,5,1.0,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2,3.0,2,3.0,5,3.0,3,3,3,1,1.0,3,1.0,3,1.0,3,1.0,2,4,5,3.0,5,2.0,5,5.0,4,5,5,5
52,68.0,Caucasian (European),14,1,0,1,1,US,24.0,1.0,1.0,6.0,-25.0,4.0,2,4.0,4,5.0,2,4.0,2,2.0,2.0,3,2.0,2,3.0,1.0,2.0,2.0,2.0,4.0,2.0,4,2.0,2,4.0,3,5.0,3,3,2,2,3.0,5,3.0,1,1.0,2,3.0,2,3,5,4.0,4,4.0,4,4.0,3,4,5,5
53,70.0,Mixed Race,25,0,0,1,1,IN,14.0,20.0,2.0,21.0,-12.0,5.0,4,4.0,4,5.0,1,2.0,2,3.0,1.0,3,4.0,2,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5,5.0,5,4.0,4,5.0,2,5,5,5,5.0,4,5.0,5,5.0,2,5.0,4,4,3,4.0,1,4.0,2,5.0,4,1,4,4
54,72.0,Caucasian (European),47,1,1,1,1,US,28.0,18.0,6.0,6.0,-20.0,5.0,3,5.0,2,5.0,4,2.0,4,2.0,2.0,3,2.0,3,4.0,3.0,2.0,3.0,3.0,3.0,4.0,5,4.0,2,1.0,4,3.0,3,1,3,5,2.0,4,5.0,3,5.0,5,5.0,4,4,5,5.0,4,5.0,5,5.0,4,5,3,5
55,73.0,Caucasian (European),18,1,1,1,5,US,14.0,3.0,-10.0,6.0,-24.0,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2.0,3,2.0,1,4.0,2.0,3.0,3.0,2.0,2.0,4.0,2,4.0,4,3.0,2,2.0,2,4,3,3,2.0,3,3.0,2,3.0,3,2.0,2,4,4,2.0,4,2.0,3,3.0,4,3,4,3
56,74.0,Caucasian (European),23,0,1,0,1,SE,19.0,10.0,-2.0,7.0,-32.0,5.0,4,4.0,2,2.0,5,1.0,2,1.0,1.0,2,1.0,3,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4,2.0,2,3.0,5,5.0,4,1,3,4,3.0,5,3.0,1,3.0,4,3.0,5,3,3,3.0,5,2.0,4,5.0,3,4,4,4
57,75.0,Caucasian (European),14,1,3,1,1,GB,16.0,-4.0,0.0,12.0,-25.0,4.0,2,4.0,2,5.0,1,4.0,4,2.0,1.0,3,2.0,2,2.0,3.0,2.0,3.0,2.0,3.0,5.0,4,4.0,3,5.0,4,5.0,2,2,2,2,2.0,3,2.0,1,1.0,3,1.0,2,3,4,4.0,3,4.0,3,4.0,4,4,2,2
58,76.0,Caucasian (European),20,1,0,1,1,US,27.0,11.0,-15.0,22.0,-24.0,2.0,2,1.0,1,4.0,1,1.0,1,1.0,1.0,2,1.0,2,2.0,2.0,4.0,4.0,2.0,4.0,5.0,5,5.0,5,5.0,4,5.0,4,5,3,4,4.0,2,4.0,2,5.0,4,4.0,4,2,5,5.0,5,3.0,4,5.0,5,4,5,4
59,77.0,Caucasian (Middle East),35,1,0,0,1,US,26.0,13.0,12.0,24.0,-23.0,5.0,5,3.0,5,5.0,1,5.0,4,5.0,1.0,2,1.0,4,2.0,1.0,4.0,4.0,2.0,4.0,5.0,5,5.0,5,5.0,5,5.0,3,5,5,2,5.0,5,2.0,1,5.0,5,4.0,5,3,5,5.0,5,2.0,5,5.0,5,5,2,5
60,78.0,Caucasian (European),34,1,0,1,1,US,19.0,20.0,13.0,23.0,-17.0,5.0,4,4.0,5,4.0,5,4.0,4,4.0,4.0,3,2.0,2,4.0,3.0,2.0,4.0,4.0,3.0,5.0,5,4.0,5,5.0,5,5.0,5,4,4,4,4.0,4,5.0,4,5.0,5,5.0,4,4,3,4.0,4,5.0,3,4.0,3,3,5,3
61,79.0,Mixed Race,36,0,0,1,1,JO,14.0,13.0,7.0,18.0,-31.0,1.0,5,1.0,5,1.0,5,4.0,5,5.0,1.0,1,1.0,5,1.0,1.0,1.0,1.0,1.0,4.0,1.0,5,1.0,5,5.0,5,5.0,5,5,5,4,1.0,5,5.0,4,1.0,5,5.0,2,5,1,1.0,5,4.0,5,5.0,2,1,5,3
62,80.0,Caucasian (European),15,1,1,1,1,US,16.0,0.0,-4.0,6.0,-25.0,3.0,3,1.0,2,3.0,3,2.0,4,2.0,2.0,4,2.0,2,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4,2.0,4,3.0,3,3.0,3,3,2,3,2.0,4,2.0,1,1.0,4,2.0,2,3,4,1.0,5,3.0,3,4.0,2,4,4,4
63,81.0,Caucasian (European),20,1,1,1,1,US,23.0,6.0,9.0,21.0,-7.0,3.0,4,4.0,4,4.0,4,4.0,4,4.0,5.0,5,4.0,3,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5,5.0,5,1.0,5,5.0,5,5,4,4,1.0,5,4.0,1,1.0,4,3.0,3,4,5,5.0,3,5.0,4,3.0,4,3,5,4
64,83.0,Caucasian (European),54,1,0,1,1,CA,22.0,18.0,-4.0,13.0,-4.0,3.0,4,3.0,2,4.0,2,2.0,2,2.0,3.0,4,3.0,5,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3,5.0,3,3.0,4,3.0,4,3,5,4,4.0,5,5.0,5,1.0,4,5.0,4,5,3,3.0,5,4.0,5,5.0,4,2,4,5
65,84.0,Caucasian (European),47,0,1,1,5,US,22.0,3.0,2.0,19.0,-17.0,2.0,5,4.0,4,2.0,4,4.0,2,3.0,3.0,3,2.0,2,2.0,4.0,2.0,5.0,4.0,4.0,2.0,4,5.0,5,5.0,5,4.0,5,4,4,2,4.0,3,2.0,2,2.0,3,4.0,2,3,3,4.0,4,4.0,5,4.0,5,2,5,4
66,85.0,Caucasian (Indian),17,0,1,1,1,IN,16.0,6.0,-7.0,16.0,-30.0,1.0,4,2.0,3,2.0,2,1.0,4,1.0,1.0,4,1.0,3,2.0,1.0,1.0,1.0,2.0,2.0,2.0,5,2.0,5,4.0,5,2.0,5,5,5,3,4.0,5,1.0,2,2.0,3,3.0,3,4,3,3.0,5,3.0,3,2.0,3,4,5,3
67,86.0,Mixed Race,45,0,1,1,1,US,21.0,25.0,5.0,22.0,-7.0,2.0,4,4.0,3,4.0,4,2.0,5,3.0,4.0,4,2.0,4,5.0,4.0,5.0,5.0,4.0,4.0,5.0,3,5.0,5,4.0,5,4.0,5,5,5,4,5.0,5,5.0,5,5.0,5,5.0,5,5,4,5.0,4,5.0,5,2.0,5,1,5,3
68,88.0,Caucasian (European),32,1,0,1,2,US,13.0,18.0,0.0,16.0,-33.0,4.0,5,4.0,4,3.0,2,1.0,1,4.0,1.0,1,1.0,2,2.0,2.0,1.0,1.0,2.0,2.0,5.0,4,3.0,4,5.0,4,4.0,5,4,2,4,5.0,5,5.0,4,1.0,5,3.0,5,5,4,2.0,2,4.0,3,4.0,4,4,2,2
69,90.0,Caucasian (European),23,0,0,1,2,NO,21.0,3.0,10.0,21.0,-19.0,5.0,5,4.0,5,5.0,3,3.0,3,4.0,3.0,4,2.0,3,3.0,3.0,2.0,3.0,3.0,3.0,5.0,5,4.0,5,5.0,2,5.0,5,5,4,2,2.0,4,4.0,3,2.0,2,3.0,1,4,3,4.0,4,5.0,4,3.0,4,4,5,3
